layer,channel,acc_drop,ablated_acc,baseline_acc
features[3],12,0.0010000000000000009,0.9888,0.9898
features[3],14,0.0008000000000000229,0.989,0.9898
features[3],17,0.0006000000000000449,0.9892,0.9898
features[3],35,0.000500000000000056,0.9893,0.9898
features[3],58,0.000500000000000056,0.9893,0.9898
features[3],56,0.00040000000000006697,0.9894,0.9898
features[3],33,0.00040000000000006697,0.9894,0.9898
features[3],4,0.00040000000000006697,0.9894,0.9898
features[3],44,0.00040000000000006697,0.9894,0.9898
features[3],2,0.00040000000000006697,0.9894,0.9898
